probe	class
1	LRP4	C1
2	ACE2	C1
3	AZGP1	C1
4	GGH	C1
5	RNF43	C1
6	CDHR1	C1
7	OLFM4	C1
8	FAM3B	C1
9	SATB2	C1
10	ID1	C1
11	GNG4	C1
12	PHGDH	C1
13	SCML1	C1
14	GLCE	C1
15	CHN2	C1
16	SPAG1	C1
17	CKMT2	C1
18	ARID3A	C1
19	NR1I2	C1
20	RNF128	C1
21	LCN15	C1
22	CYP4F3	C1
23	MANSC1	C1
24	PRAP1	C1
25	GALNT6	C1
26	SGK2	C1
27	CXADR	C1
28	MYC	C1
29	ZNF121	C1
30	CLDN2	C1
31	CFTR	C1
32	NKD1	C1
33	CEMIP	C1
34	NETO2	C1
35	ANO9	C1
36	CYP2J2	C1
37	CYP2B6	C1
38	SYBU	C1
39	FOXA2	C1
40	DNMT3B	C1
41	FGFR3	C1
42	GDF15	C1
43	ESRP1	C1
44	PLEKHG4	C1
45	GOLT1A	C1
46	FGGY	C1
47	CEBPA	C1
48	GPX2	C1
49	SLC2A8	C1
50	DGAT2	C1
51	METTL7B	C1
52	CYP2S1	C1
53	GPR35	C1
54	CKB	C1
55	SLC7A6	C1
56	OCLN	C1
57	ACOX2	C1
58	SPIRE2	C1
59	GFPT1	C1
60	SP6	C1
61	APOBEC3B	C1
62	SERINC5	C1
63	ERMP1	C1
64	CYP2W1	C1
65	KHK	C1
66	KDM7A	C1
67	PABPC1L	C1
68	ANXA9	C1
69	FAAH	C1
70	FCGBP	C2
71	CEACAM7	C2
72	MUC2	C2
73	AKR1B10	C2
74	SLC26A3	C2
75	ST6GALNAC1	C2
76	TSPAN1	C2
77	IL2RG	C2
78	CXCL14	C2
79	SLC26A2	C2
80	CDHR5	C2
81	KLF4	C2
82	PI3	C2
83	AOC1	C2
84	AGR3	C2
85	MUC12	C2
86	C15orf48	C2
87	BCAS1	C2
88	CREB3L1	C2
89	PKIB	C2
90	CTSE	C2
91	ITM2C	C2
92	AKR1C3	C2
93	ATP2A3	C2
94	CA12	C2
95	ADIRF	C2
96	PRAC1	C2
97	CES2	C2
98	VIPR1	C2
99	TFF3	C2
100	ABCG2	C2
101	PTGER2	C2
102	C19orf33	C2
103	CD163L1	C2
104	POLD4	C2
105	CDC42EP5	C2
106	FXYD3	C2
107	CDA	C2
108	ALDH1A1	C2
109	MTMR11	C2
110	VILL	C2
111	COL17A1	C2
112	TFF1	C2
113	TMEM176B	C2
114	KLK11	C2
115	NELL2	C2
116	PADI2	C2
117	ARL14	C2
118	ZG16B	C2
119	B3GALT5	C2
120	ETHE1	C2
121	PAPSS2	C2
122	SYTL2	C2
123	PTPRH	C2
124	GJB4	C2
125	ST6GALNAC2	C2
126	PARM1	C2
127	SH3D21	C2
128	PTPRN2	C2
129	EPHB6	C2
130	MINK1	C2
131	MUC5B	C2
132	PPDPF	C2
133	GGT6	C2
134	MVP	C2
135	SLC22A18	C2
136	TFF2	C2
137	BCAR3	C2
138	ERN2	C2
139	IFI27L2	C2
140	MAOA	C2
141	ST3GAL4	C2
142	XBP1	C2
143	MIA	C2
144	IFT172	C2
145	SULT1A1	C2
146	AMN	C2
147	LGR6	C2
148	PYGB	C2
149	MBOAT2	C2
150	HSF4	C2
151	TBC1D2	C2
152	PLCD3	C2
153	KRT81	C2
154	WFDC2	C2
155	EMB	C2
156	AOAH	C2
157	ACAA2	C2
158	ATP6V0C	C2
159	AMIGO2	C3
160	FZD7	C3
161	CDKN1C	C3
162	PPBP	C3
163	TGFBI	C3
164	LAMB1	C3
165	SLC16A4	C3
166	SCRN1	C3
167	RHOBTB1	C3
168	TWSG1	C3
169	BNIP3	C3
170	HOXA5	C3
171	ZNF83	C3
172	FKBP10	C3
173	GJB2	C3
174	CCDC50	C3
175	KRT6A	C3
176	PCP4	C3
177	ANO1	C3
178	PCOLCE2	C3
179	KLK6	C3
180	TNFRSF11B	C3
181	SATB1	C3
182	SMOC2	C3
183	SMIM3	C3
184	LAMC2	C3
185	S100A2	C3
186	RBP1	C3
187	DAB2	C3
188	SFTA2	C3
189	PFN2	C3
190	BAMBI	C3
191	PHACTR3	C3
192	TCEAL8	C3
193	TUBB2B	C3
194	ALPK3	C3
195	RECQL	C3
196	BMP4	C3
197	SRPX2	C3
198	LARP6	C3
199	LEF1	C3
200	PIAS3	C3
